id,sigla,nome,casa,siglaTipo,descricaoTipo,dataInicio,dataFim
7379442,,Federação das Indústrias do Estado do Rio de Janeiro – FIRJAN,,ENTE_JURIDICO,Ente Jurídico - não categorizado,,
7380947,,Federação das Indústrias do Estado do Rio de Janeiro – Firjan,,ENTE_JURIDICO,Ente Jurídico - não categorizado,,
7373153,,Federação de Arte Educadores do Brasil - FAEB,,ENTE_JURIDICO,Ente Jurídico - não categorizado,,
7360141,,Federação de Entidades Empresariais do Estado do Rio Grande do Sul - FEDERASUL,,ENTE_JURIDICO,Ente Jurídico - não categorizado,,
850,,Federação de Futebol não Profissional da Bahia,,ENTE_JURIDICO,Ente Jurídico - não categorizado,,
7360712,,"Federação de Hotéis, Restaurantes, Bares e Similares do Estado de São Paulo - FHORESP",,ENTE_JURIDICO,Ente Jurídico - não categorizado,,
7359678,,Federação de Sindicatos de Professores e Professoras de Instituições Federais de Ensino Superior,,ENTE_JURIDICO,Ente Jurídico - não categorizado,,
7359679,,"Federação de Sindicatos de Professores e Professoras de Instituições Federais de Ensino Superior e de Ensino Básico, Técnico e Tecnológico",,ENTE_JURIDICO,Ente Jurídico - não categorizado,,
7376639,,"Federação do Comércio de Bens, Serviços e Turismo de Minas Gerais - Fecomércio MG",,ENTE_JURIDICO,Ente Jurídico - não categorizado,,
7361329,,"Federação do Comércio de Bens, Serviços e Turismo do DF - FECOMERCIO/DF e outros",,ENTE_JURIDICO,Ente Jurídico - não categorizado,,
7352176,Fecomercio SP,"Federação do Comércio de Bens, Serviços e Turismo do Estado de São Paulo",,ENTE_JURIDICO,Ente Jurídico - não categorizado,,
7352175,FECOMERCIO SP,"Federação do Comércio de Bens, Serviços e Turismo do Estado de São Paulo",,ENTE_JURIDICO,Ente Jurídico - não categorizado,,
7371289,,"Federação do Comércio de Bens, Serviços e Turismo do Estado de São Paulo - FECOMERCIO-SP",,ENTE_JURIDICO,Ente Jurídico - não categorizado,,
7361071,,"Federação do Comércio de Bens, Serviços e Turismo do Estado de São Paulo – FECOMERCIO",,ENTE_JURIDICO,Ente Jurídico - não categorizado,,
7353392,,"Federação do Comércio de Bens, Serviços e Turismo do Estado de São Paulo – FECOMERCIO/SP",,ENTE_JURIDICO,Ente Jurídico - não categorizado,,
7353370,,"Federação do Comércio de Bens, Serviços e Turismo do Estado de São Paulo – FECOMERCIO/SP",,ENTE_JURIDICO,Ente Jurídico - não categorizado,,
7353321,,Federação dos Acupunturistas do Brasil - FENAB,,ENTE_JURIDICO,Ente Jurídico - não categorizado,,
7353328,,Federação dos Acupunturistas do Brasil – FENAB,,ENTE_JURIDICO,Ente Jurídico - não categorizado,,
7353356,,Federação dos Acupunturistas do Brasil – FENAB,,ENTE_JURIDICO,Ente Jurídico - não categorizado,,
7353357,,Federação dos Acupunturistas do Brasil – FENAB,,ENTE_JURIDICO,Ente Jurídico - não categorizado,,
7353355,,Federação dos Acupunturistas do Brasil – FENAB,,ENTE_JURIDICO,Ente Jurídico - não categorizado,,
7376216,,"Federação dos Aposentados, Aposentáveis e Pensionistas dos Correios e Telégrafos - FAACO",,ENTE_JURIDICO,Ente Jurídico - não categorizado,,
7361137,,Federação dos Caminhoneiros Autônomos de Cargas em Geral do Estado de São Paulo,,ENTE_JURIDICO,Ente Jurídico - não categorizado,,
714,,"Federação dos Contabilistas nos Estados do RJ, ES,  BA e outros",,ENTE_JURIDICO,Ente Jurídico - não categorizado,,
7376132,,Federação dos Municípios do Rio Grande do Norte - FEMURN,,ENTE_JURIDICO,Ente Jurídico - não categorizado,,
780,,Federação dos Trab. na Agricultura do Pará e Amapá,,ENTE_JURIDICO,Ente Jurídico - não categorizado,,
797,,Federação dos Trabalhadores Aposentados e Pensionistas do Estado do Rio Grande do Sul,,ENTE_JURIDICO,Ente Jurídico - não categorizado,,
179,,Federação dos Trabalhadores Circulistas do RN,,ENTE_JURIDICO,Ente Jurídico - não categorizado,,
7360978,,Federação dos Trabalhadores nas Indústrias do Estado de Santa Catarina,,ENTE_JURIDICO,Ente Jurídico - não categorizado,,
7364486,,Federação dos Trabalhadores nas Indústrias do Estado de Santa Catarina (FETIESC),,ENTE_JURIDICO,Ente Jurídico - não categorizado,,
7349388,,Federação dos Transportes Autônomos de Cargas do Paraná,,ENTE_JURIDICO,Ente Jurídico - não categorizado,,
7360815,,Fenajufe - Federação Nacional dos Trabalhadores e Trabalhadoras do Judiciário Federal e do Ministéri,,ENTE_JURIDICO,Ente Jurídico - não categorizado,,
322,,Fernando Rodrigues Catão,,ENTE_JURIDICO,Ente Jurídico - não categorizado,,
7361073,,Fetrabens,,ENTE_JURIDICO,Ente Jurídico - não categorizado,,
7360135,,Filomena Barros - Presidente Nacional da ANATO,,ENTE_JURIDICO,Ente Jurídico - não categorizado,,
7380245,,Financiadora de Estudos e Projetos (FINEP),,ENTE_JURIDICO,Ente Jurídico - não categorizado,,
7349778,,Financiadora de Inovação e Pesquisa - FINEP,,ENTE_JURIDICO,Ente Jurídico - não categorizado,,
7352177,FBBSAN,Forum Brasileiro de Soberania e Segurança Alimentar e Nutricional,,ENTE_JURIDICO,Ente Jurídico - não categorizado,,
7352682,CBHS,Forum Nacional de Comitês Hidrográficas Brasil,,ENTE_JURIDICO,Ente Jurídico - não categorizado,,
7359103,,Frente Ciudadano Ambiental Kaapuera,,ENTE_JURIDICO,Ente Jurídico - não categorizado,,
7374789,,Frente Nacional de Combate ao Cerol – FNCC,,ENTE_JURIDICO,Ente Jurídico - não categorizado,,
7353413,,Frente Nacional de Prefeitos,,ENTE_JURIDICO,Ente Jurídico - não categorizado,,
7359376,,Frente Nacional de Prefeitos,,ENTE_JURIDICO,Ente Jurídico - não categorizado,,
7359375,,Frente Nacional de Prefeitos,,ENTE_JURIDICO,Ente Jurídico - não categorizado,,
7370014,,Frente Nacional de Prefeitos - FNP,,ENTE_JURIDICO,Ente Jurídico - não categorizado,,
7359672,,Frente Nacional dos Consumidores de Energia,,ENTE_JURIDICO,Ente Jurídico - não categorizado,,
7369234,,Frente Nacional dos Consumidores de Energia Elétrica,,ENTE_JURIDICO,Ente Jurídico - não categorizado,,
7375229,FPC,Frente Parlamentar Católica Apostólica Romana,CN,COMISSAO_PERMANENTE,Comissão Permanente,2024-08-14,
7360104,FPE,Frente Parlamentar Evangélica,CN,COMISSAO_PERMANENTE,Comissão Permanente,2022-12-21,
7352363,FPMA,Frente Parlamentar Mista Antirracismo,CN,COMISSAO_PERMANENTE,Comissão Permanente,2021-03-18,
7370774,FPMPBAS,Frente Parlamentar Mista da Pesquisa Biomédica e sua Aplicação na Saúde,CN,COMISSAO_PERMANENTE,Comissão Permanente,2023-10-16,
7379391,Frenfer,Frente Parlamentar Mista das Ferrovias Autorizadas,CN,COMISSAO_PERMANENTE,Comissão Permanente,2025-05-30,
7361157,,Frente Parlamentar Mista de Logística e Infraestrutura – FRENLOGI,,ENTE_JURIDICO,Ente Jurídico - não categorizado,,
7369179,FPMDFAV,Frente Parlamentar Mista em Defesa da Família e Apoio à Vida,CN,COMISSAO_PERMANENTE,Comissão Permanente,2023-07-15,
7374723,FPMDPI,Frente Parlamentar Mista em Defesa da Pessoa Idosa,CN,COMISSAO_PERMANENTE,Comissão Permanente,2024-07-18,
7352364,FPMDM,Frente Parlamentar Mista em Defesa dos Mototaxistas e Motofretistas,CN,COMISSAO_PERMANENTE,Comissão Permanente,2021-03-18,
7379483,FPMBFEX,Frente Parlamentar Mista em Defesa dos Médicos Brasileiros Formados no Exterior e da Revalidação,CN,COMISSAO_PERMANENTE,Comissão Permanente,2025-06-12,
7370772,FPEMBRAPA,Frente Parlamentar Mista pelo Fortalecimento da Empresa Brasileira de Pesquisa Agropecuária (Embrapa),CN,COMISSAO_PERMANENTE,Comissão Permanente,2023-09-19,
7352915,FPOPC,Frente Parlamentar Observatório da Pandemia Covid-19,CN,COMISSAO_PERMANENTE,Comissão Permanente,2021-11-08,
7373379,FPADV,Frente Parlamentar da Advocacia no Senado Federal,CN,COMISSAO_PERMANENTE,Comissão Permanente,2024-05-09,
7371282,,Frente Parlamentar da Agropecuária,,ENTE_JURIDICO,Ente Jurídico - não categorizado,,
7366321,FPCULTURA,Frente Parlamentar da Cultura,CN,COMISSAO_PERMANENTE,Comissão Permanente,2023-06-15,
7379810,FPEMSN,Frente Parlamentar da Economia do Mar - Setor Náutico,CN,COMISSAO_PERMANENTE,Comissão Permanente,2025-07-08,
7351933,FPRE,Frente Parlamentar da Rota das Emoções,CN,COMISSAO_PERMANENTE,Comissão Permanente,2019-05-24,
7352341,FPMVE,Frente Parlamentar de Apoio ao Mercado de Varejo e E-Commerce,CN,COMISSAO_PERMANENTE,Comissão Permanente,2019-12-17,
7360729,FPAMM,Frente Parlamentar de Apoio ao Microcrédito e às Microfinanças,CN,COMISSAO_PERMANENTE,Comissão Permanente,2023-03-17,
7377724,FPCIBERSEG,Frente Parlamentar de Apoio à Cibersegurança e à Defesa Cibernética,CN,COMISSAO_PERMANENTE,Comissão Permanente,2024-12-20,
7378795,FPDRF,Frente Parlamentar de Defesa da Responsabilidade Fiscal,CN,COMISSAO_PERMANENTE,Comissão Permanente,2021-11-16,
